stocks,fx,bonds,total
-329764.2061283719,37423075.520436585,-1083782.8591519669,36009528.455156244
-431572.28071162663,-8971419.312341452,1611.6558834761381,-9401379.937169602
-520675.39741531014,-24623866.071091115,-1673446.3400702924,-26817987.808576718
-956614.0684289448,27526349.057664692,-2269053.1575853154,24300681.831650432
427784.20357473753,66494164.44780177,-829592.3746822476,66092356.27669426
-194613.4418572262,21206876.76884246,-92422.85195679963,20919840.475028433
254304.01905006543,-18133934.859258056,-596568.008841157,-18476198.849049147
663114.3709115554,12000994.042365909,-624167.1713466495,12039941.241930814
-712645.3538264763,-33491454.622448534,1165641.1750284135,-33038458.8012466
1533964.360796623,8192877.736504912,-68311.5909312591,9658530.506370276
279381.6497758385,3092930.2520200014,36479.689102977514,3408791.5908988174
-404656.67130746134,-35832852.80779415,1048166.2081243992,-35189343.270977214
1970624.1301109884,-46219417.189685374,1130648.35753192,-43118144.70204247
140366.64494599588,21143100.784274668,-219698.71120464057,21063768.71801602
949611.0717705414,53006233.674728215,411473.72996055335,54367318.47645931
-629124.4741587639,48107104.94410765,542003.0774092823,48019983.54735817
-247004.9179291837,27769800.11895424,729883.618220456,28252678.819245514
-277945.2942792475,-44248324.44342211,779586.3934332803,-43746683.344268076
-989754.8764661849,-12708659.043498755,299670.8806072697,-13398743.03935767
644853.6841931902,807338.2129888237,1057631.9643505663,2509823.86153258
404991.19689164683,88378721.6822474,321639.74653974175,89105352.6256788
154718.10963120498,-32123024.058934867,1230488.9148360714,-30737817.034467593
182237.1712212339,-32833140.146010697,-388658.5514905676,-33039561.52628003
-244243.08605999127,-49429169.53420511,-1082055.5923267305,-50755468.21259183
-99663.89693199098,28400399.133709073,-1576907.8549059108,26723827.38187117
548315.1853387877,60001509.791416585,451571.253363125,61001396.2301185
-722592.1258049626,-22162762.76250887,-1670822.8355918378,-24556177.723905668
655025.5246897321,37432662.87540105,648873.3815036342,38736561.78159442
-446243.9063596409,50714229.4818933,-664178.6267767996,49603806.94875686
140263.92112592794,-36232058.346883476,1358433.729878515,-34733360.695879035
251976.02472074702,49733528.510118246,991230.4485668391,50976734.98340583
1989424.0386789776,-21498989.837222874,-1965982.1912308559,-21475547.989774752
-559630.5701007899,-12973193.642641962,-814119.2707178444,-14346943.483460596
-226779.45140869543,37004107.911148995,-579421.3309223503,36197907.128817946
-50463.65368803963,-16121220.710436314,-876377.3461340964,-17048061.71025845
609247.5273062792,23220044.00461948,299294.06889894605,24128585.600824706
422944.94790432043,37161705.575990796,-46017.2461181581,37538633.27777696
-634549.2628189679,-23676183.157107353,-762197.4660674259,-25072929.88599375
1416528.6799947023,69125020.70583534,81869.47869834304,70623418.86452839
-234178.71130663157,-25729829.0743241,174240.32519231737,-25789767.460438415
-17677.293479964137,17441453.74831018,1024654.8634771258,18448431.31830734
-140323.76150657982,-28036008.14954698,934151.4625565782,-27242180.448496982
217858.46780095063,-35018657.70967525,32095.61264771968,-34768703.62922658
-1540564.5269120038,3583946.3678053916,786616.8639777526,2829998.7048711404
1463412.1225782111,-28132335.215207487,348581.0698450133,-26320342.022784263
-663851.3328106608,-33780370.23100799,518368.1787298098,-33925853.385088846
-1138443.3869246487,-20205242.011122167,-1251563.3381034434,-22595248.736150257
-659069.6550476439,43330890.73985827,322619.31548160315,42994440.40029223
733618.1174538806,-6761019.125968337,316041.3588896394,-5711359.649624817
682875.8479421977,-1071263.6882750988,802785.8444894478,414398.00415654667
-1188795.0825861953,32994597.310236096,-699977.2685109451,31105824.959138956
137288.49089063704,-29714478.242772073,-943620.0060708523,-30520809.757952288
430531.68400451913,22855779.395454824,334901.5622906685,23621212.64175001
-11472.136262588203,19435137.738829106,-596481.9094253927,18827183.693141125
